"50","Grilled steak (eat lean only)","1.00000","small steak",".00000",".00000",".00000",".00000","4.12659",".00000","230.49000"
"51","Grilled steak (eat lean only)","4.00000","ounces cooked, no bone",".00000",".00000",".00000",".00000","4.00000",".00000","181.24000"
"52","Fried steak (eat lean & fat)","1.00000","medium steak",".00000",".00000",".00000",".00000","6.04248",".00000","587.52000"
"53","Fried steak (eat lean & fat)","1.00000","large steak",".00000",".00000",".00000",".00000","8.05664",".00000","783.36000"
"54","Fried steak (eat lean & fat)","1.00000","small steak",".00000",".00000",".00000",".00000","4.53186",".00000","440.64000"
"55","Fried steak (eat lean & fat)","4.00000","ounces cooked, no bone",".00000",".00000",".00000",".00000","2.72504",".00000","264.96000"
"56","Fried steak (eat lean only)","1.00000","medium steak",".00000",".00000",".00000",".00000","5.31180",".00000","358.80000"
"57","Fried steak (eat lean only)","1.00000","large steak",".00000",".00000",".00000",".00000","7.11645",".00000","480.70000"
"58","Fried steak (eat lean only)","1.00000","small steak",".00000",".00000",".00000",".00000","3.98385",".00000","269.10000"
"59","Fried steak (eat lean only)","4.00000","ounces cooked, no bone",".00000",".00000",".00000",".00000","4.00000",".00000","211.60000"
"60","Breaded fried steak (eat lean & fat)","1.00000","medium steak","1.97559",".00000",".00000",".04617","5.32899",".00000","801.90000"
"61","Breaded fried steak (eat lean & fat)","1.00000","large steak","2.63412",".00000",".00000",".06156","7.10532",".00000","1069.20000"
"62","Breaded fried steak (eat lean & fat)","1.00000","small steak","1.47966",".00000",".00000",".03458","3.99126",".00000","600.60000"
"63","Breaded fried steak (eat lean & fat)","4.00000","ounces cooked, no bone",".92194",".00000",".00000",".02155","2.48686",".00000","374.22000"
"64","Breaded fried steak (eat lean only)","1.00000","medium steak","1.51032",".00000",".00000",".03534","4.82856",".00000","515.22000"
"65","Breaded fried steak (eat lean only)","1.00000","large steak","2.01376",".00000",".00000",".04712","6.43808",".00000","686.96000"
"66","Breaded fried steak (eat lean only)","1.00000","small steak","1.13680",".00000",".00000",".02660","3.63440",".00000","387.80000"
"67","Breaded fried steak (eat lean only)","4.00000","ounces cooked, no bone",".87696",".00000",".00000",".02052","2.80368",".00000","299.16000"
"68","BBQ short ribs with sauce","1.00000","medium rib",".06375",".00459",".00000",".00000",".93534",".00000","107.61000"
"69","BBQ short ribs with sauce","1.00000","large rib",".08750",".00630",".00000",".00000","1.28380",".00000","147.70000"
"70","BBQ short ribs with sauce","1.00000","small rib",".02750",".00198",".00000",".00000",".40348",".00000","46.42000"
"71","Roast beef (eat lean & fat)","1.00000","medium slice",".00000",".00000",".00000",".00000","1.34988",".00000","111.72000"
"72","Roast beef (eat lean & fat)","1.00000","thick slice",".00000",".00000",".00000",".00000","2.02482",".00000","167.58000"
"73","Roast beef (eat lean & fat)","1.00000","thin slice",".00000",".00000",".00000",".00000",".67494",".00000","55.86000"
"74","Roast beef (eat lean & fat)","4.00000","ounces after cooking",".00000",".00000",".00000",".00000","3.64468",".00000","301.64400"
"75","Roast beef (eat lean only)","1.00000","medium slice",".00000",".00000",".00000",".00000","1.48134",".00000","82.74000"
"76","Roast beef (eat lean only)","1.00000","thick slice",".00000",".00000",".00000",".00000","2.22201",".00000","124.11000"
"77","Roast beef (eat lean only)","1.00000"," thin slice",".00000",".00000",".00000",".00000",".74067",".00000","41.37000"
"78","Roast beef (eat lean only)","4.00000","ounces after cooking",".00000",".00000",".00000",".00000","4.00000",".00000","223.39800"
